"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물용도명","기존게임업외업종명","문화사업자구분명","문화체육업종명","소방시설여부","시설면적","제공게임물명","주변환경명","지역구분명","총게임기수","최초등록시점","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1","코인뮤직박스(coin music box)","충청남도 공주시 산성동 120-4번지 1층,2층 ","충청남도 공주시 무령로 229 (산성동, 1층,2층)","20150619","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","66.4","전체이용가","기타","상업지역","14","","","211227.71542200000  ","328725.88983400000  ","CDFF2241142015000001","영업중"
"2","KPOP코인노래&게임","경기도 수원시 팔달구 매산로2가 27-13번지 ","경기도 수원시 팔달구 향교로 29-1, 5층 (매산로2가)","20150522","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","130.87","전체이용가","유흥업소밀집지역","일반상업지역","","","","200317              ","418529              ","CDFF2241142015000006","영업중"
"3","신세계게임장","경기도 화성시 병점동 847번지 ","경기도 화성시 효행로 1076-7, 305호 (병점동, 한마음프라자)","20150522","운영중","","","","","","","","","유통관련업","청소년게임제공업","","92.15","전체이용가","","","30","","","203999.13837100000  ","412853.77753800000  ","CDFF2241142015000003","영업중"
"4","한양 게임장","서울특별시 성동구 행당동 19-100번지 ","서울특별시 성동구 마조로 9 (행당동)","20071121","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","93","전체이용가","기타","일반주거지역","48","","02-2292-7175","203583.27361400000  ","451020.86287300000  ","CDFF2241142007000005","영업중"
"5","화양게임랜드","서울특별시 성동구 송정동 66-196번지 ","서울특별시 성동구 광나루로 323, 3층 3호 (송정동, 송정빌딩)","20150213","운영중","","","","","","","","","유통관련업","청소년게임제공업","","112.5","전체이용가","","","40","","","205801.48096700000  ","449880.40738000000  ","CDFF2241142015000001","영업중"
"6","질러인터넷청소년노래방","광주광역시 남구 노대동 844-201번지 ","광주광역시 남구 효우로77번길 13, 2층 201호 (노대동)","20150630","운영중","","","","","","","","","유통관련업","청소년게임제공업","","136.4","전체이용가","학교정화(상대)","","","","","191341.55502000000  ","178839.33867100000  ","CDFF2241142015000003","영업중"
"7","엣지코인노래","서울특별시 노원구 월계동 46-1번지 지층 비01호","서울특별시 노원구 화랑로 337, 지층 비01호 (월계동)","20150618","운영중","","","","","","","","","유통관련업","청소년게임제공업","","110.85","전체이용가","","","","","","205753.77596800000  ","457296.31056400000  ","CDFF2241142015000003","영업중"
"8","뽀끼뽀끼","충청남도 보령시 궁촌동 347번지 보령종합터미널 ","충청남도 보령시 터미널길 8, 보령종합터미널 135호 (궁촌동)","20171211","운영중","","","","","","","","","유통관련업","청소년게임제공업","","48.88","전체이용가","","","4","","","163163.08661400000  ","316128.28166800000  ","CDFF2241142017000013","영업중"
"9","은마게임장","서울특별시 은평구 대조동 197-12번지 지층 ","서울특별시 은평구 연서로26길 7 (대조동,지층)","20071116","운영중","","","","","","","","","유통관련업","청소년게임제공업","","92.82","","","","","","","192969.19746500000  ","457507.78703000000  ","CDFF2241142007000002","영업중"
"10","게임빌리지","서울특별시 은평구 갈현동 456-5번지 1층 ","서울특별시 은평구 연서로29길 3 (갈현동,1층)","20080520","운영중","","","","","","","근린생활시설","","유통관련업","청소년게임제공업","","106.7","전체이용가","유흥업소밀집지역","일반상업지역","","","02-352-1242","192912.00629200000  ","457668.97566700000  ","CDFF2241142008000003","영업중"
