"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물용도명","문화사업자구분명","시설면적","제작취급품목내용","주변환경명","최초등록시점","통로너비","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1","CGV 왕십리 1관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081224","운영중","","","","","","","문화시설","영화상영관","","","","20081224","","","203292.151899       ","451267.730901       ","CDFF4220002008000001","영업중"
"2","CGV 왕십리 2관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","133071","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000002","영업중"
"3","CGV 왕십리 3관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","133071","","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000003","영업중"
"4","CGV 왕십리 4관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","133071","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000004","영업중"
"5","CGV 왕십리 5관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000005","영업중"
"6","CGV 왕십리 6관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","133071","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000006","영업중"
"7","CGV 왕십리 7관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","133071","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000007","영업중"
"8","CGV 왕십리 8관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000008","영업중"
"9","CGV 왕십리 9관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000009","영업중"
"10","CGV 왕십리 10관","서울특별시 성동구 행당동 168-1번지 왕십리 민자역사 5층 ","","20081226","운영중","","","","","","133071","문화시설","영화상영관","","","","20081226","","","203292.151899       ","451267.730901       ","CDFF4220002008000010","영업중"
"11","씨지브이동래 제1관","부산광역시 동래구 온천동 153-8번지 SK허브스카이6층 ","부산광역시 동래구 중앙대로 1523, 6층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","1544-1122, 559-5501","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000001","영업중"
"12","씨지브이동래 제2관","부산광역시 동래구 온천동 153-8번지 SK허브스카이6층 ","부산광역시 동래구 중앙대로 1523, 6층 (온천동, SK허브스카이)","20061023","운영중","","","","","","","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","559-5501","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000002","영업중"
"13","씨지브이동래 제3관","부산광역시 동래구 온천동 153-8번지 SK허브스카이6층 ","부산광역시 동래구 중앙대로 1523, 6층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","1544-1122","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000003","영업중"
"14","씨지브이동래 제4관","부산광역시 동래구 온천동 153-8번지 SK허브스카이6층 ","부산광역시 동래구 중앙대로 1523, 6층 (온천동, SK허브스카이)","20061023","운영중","","","","","","607787","문화시설","영화상영관","","","유흥업소밀집지역","20061023","","559-5501","389888.65870200000  ","193639.04206900000  ","CDFF4220002006000004","영업중"
